protocol,problem,metric,algorithm,average_rank
fast_t5_n10,df1,migd,FITO,1.8
fast_t5_n10,df1,migd,FITO+BR,2.5
fast_t5_n10,df1,migd,FITO+MB,4.75
fast_t5_n10,df1,migd,FITO-noLS,4.15
fast_t5_n10,df1,migd,FITO-noPA,6.0
fast_t5_n10,df1,migd,FITO-noPS,1.8
fast_t5_n10,df1,migd,FITO-noRD,7.0
fast_t5_n10,df2,migd,FITO,2.0
fast_t5_n10,df2,migd,FITO+BR,2.9
fast_t5_n10,df2,migd,FITO+MB,4.8
fast_t5_n10,df2,migd,FITO-noLS,3.3
fast_t5_n10,df2,migd,FITO-noPA,6.0
fast_t5_n10,df2,migd,FITO-noPS,2.0
fast_t5_n10,df2,migd,FITO-noRD,7.0
fast_t5_n10,df3,migd,FITO,2.8
fast_t5_n10,df3,migd,FITO+BR,2.95
fast_t5_n10,df3,migd,FITO+MB,3.25
fast_t5_n10,df3,migd,FITO-noLS,6.55
fast_t5_n10,df3,migd,FITO-noPA,4.7
fast_t5_n10,df3,migd,FITO-noPS,2.8
fast_t5_n10,df3,migd,FITO-noRD,4.95
fast_t5_n10,df4,migd,FITO,3.0
fast_t5_n10,df4,migd,FITO+BR,4.65
fast_t5_n10,df4,migd,FITO+MB,3.15
fast_t5_n10,df4,migd,FITO-noLS,7.0
fast_t5_n10,df4,migd,FITO-noPA,3.55
fast_t5_n10,df4,migd,FITO-noPS,3.0
fast_t5_n10,df4,migd,FITO-noRD,3.65
fast_t5_n10,df5,migd,FITO,1.85
fast_t5_n10,df5,migd,FITO+BR,2.5
fast_t5_n10,df5,migd,FITO+MB,3.8
fast_t5_n10,df5,migd,FITO-noLS,5.9
fast_t5_n10,df5,migd,FITO-noPA,5.3
fast_t5_n10,df5,migd,FITO-noPS,1.85
fast_t5_n10,df5,migd,FITO-noRD,6.8
fast_t5_n10,df6,migd,FITO,2.3
fast_t5_n10,df6,migd,FITO+BR,3.2
fast_t5_n10,df6,migd,FITO+MB,2.95
fast_t5_n10,df6,migd,FITO-noLS,6.9
fast_t5_n10,df6,migd,FITO-noPA,4.6
fast_t5_n10,df6,migd,FITO-noPS,2.3
fast_t5_n10,df6,migd,FITO-noRD,5.75
fast_t5_n10,df7,migd,FITO,3.2
fast_t5_n10,df7,migd,FITO+BR,3.6
fast_t5_n10,df7,migd,FITO+MB,4.4
fast_t5_n10,df7,migd,FITO-noLS,4.65
fast_t5_n10,df7,migd,FITO-noPA,3.7
fast_t5_n10,df7,migd,FITO-noPS,3.2
fast_t5_n10,df7,migd,FITO-noRD,5.25
fast_t5_n10,df8,migd,FITO,3.5
fast_t5_n10,df8,migd,FITO+BR,4.1
fast_t5_n10,df8,migd,FITO+MB,3.15
fast_t5_n10,df8,migd,FITO-noLS,7.0
fast_t5_n10,df8,migd,FITO-noPA,3.05
fast_t5_n10,df8,migd,FITO-noPS,3.5
fast_t5_n10,df8,migd,FITO-noRD,3.7
fast_t5_n10,df9,migd,FITO,2.1
fast_t5_n10,df9,migd,FITO+BR,2.25
fast_t5_n10,df9,migd,FITO+MB,3.8
fast_t5_n10,df9,migd,FITO-noLS,5.2
fast_t5_n10,df9,migd,FITO-noPA,5.9
fast_t5_n10,df9,migd,FITO-noPS,2.1
fast_t5_n10,df9,migd,FITO-noRD,6.65
moderate_t10_n10,df1,migd,FITO,1.85
moderate_t10_n10,df1,migd,FITO+BR,2.2
moderate_t10_n10,df1,migd,FITO+MB,3.65
moderate_t10_n10,df1,migd,FITO-noLS,5.7
moderate_t10_n10,df1,migd,FITO-noPA,5.75
moderate_t10_n10,df1,migd,FITO-noPS,2.35
moderate_t10_n10,df1,migd,FITO-noRD,6.5
moderate_t10_n10,df2,migd,FITO,2.45
moderate_t10_n10,df2,migd,FITO+BR,3.1
moderate_t10_n10,df2,migd,FITO+MB,3.5
moderate_t10_n10,df2,migd,FITO-noLS,5.8
moderate_t10_n10,df2,migd,FITO-noPA,3.75
moderate_t10_n10,df2,migd,FITO-noPS,3.7
moderate_t10_n10,df2,migd,FITO-noRD,5.7
moderate_t10_n10,df3,migd,FITO,1.4
moderate_t10_n10,df3,migd,FITO+BR,2.95
moderate_t10_n10,df3,migd,FITO+MB,3.1
moderate_t10_n10,df3,migd,FITO-noLS,6.2
moderate_t10_n10,df3,migd,FITO-noPA,4.55
moderate_t10_n10,df3,migd,FITO-noPS,5.3
moderate_t10_n10,df3,migd,FITO-noRD,4.5
moderate_t10_n10,df4,migd,FITO,2.85
moderate_t10_n10,df4,migd,FITO+BR,4.65
moderate_t10_n10,df4,migd,FITO+MB,3.45
moderate_t10_n10,df4,migd,FITO-noLS,7.0
moderate_t10_n10,df4,migd,FITO-noPA,3.2
moderate_t10_n10,df4,migd,FITO-noPS,3.2
moderate_t10_n10,df4,migd,FITO-noRD,3.65
moderate_t10_n10,df5,migd,FITO,2.05
moderate_t10_n10,df5,migd,FITO+BR,2.35
moderate_t10_n10,df5,migd,FITO+MB,3.6
moderate_t10_n10,df5,migd,FITO-noLS,7.0
moderate_t10_n10,df5,migd,FITO-noPA,5.2
moderate_t10_n10,df5,migd,FITO-noPS,2.0
moderate_t10_n10,df5,migd,FITO-noRD,5.8
moderate_t10_n10,df6,migd,FITO,2.8
moderate_t10_n10,df6,migd,FITO+BR,2.5
moderate_t10_n10,df6,migd,FITO+MB,3.05
moderate_t10_n10,df6,migd,FITO-noLS,6.5
moderate_t10_n10,df6,migd,FITO-noPA,4.55
moderate_t10_n10,df6,migd,FITO-noPS,3.1
moderate_t10_n10,df6,migd,FITO-noRD,5.5
moderate_t10_n10,df7,migd,FITO,2.5
moderate_t10_n10,df7,migd,FITO+BR,3.65
moderate_t10_n10,df7,migd,FITO+MB,2.8
moderate_t10_n10,df7,migd,FITO-noLS,5.7
moderate_t10_n10,df7,migd,FITO-noPA,3.3
moderate_t10_n10,df7,migd,FITO-noPS,6.6
moderate_t10_n10,df7,migd,FITO-noRD,3.45
moderate_t10_n10,df8,migd,FITO,3.3
moderate_t10_n10,df8,migd,FITO+BR,3.75
moderate_t10_n10,df8,migd,FITO+MB,2.95
moderate_t10_n10,df8,migd,FITO-noLS,7.0
moderate_t10_n10,df8,migd,FITO-noPA,3.0
moderate_t10_n10,df8,migd,FITO-noPS,3.7
moderate_t10_n10,df8,migd,FITO-noRD,4.3
moderate_t10_n10,df9,migd,FITO,1.95
moderate_t10_n10,df9,migd,FITO+BR,2.75
moderate_t10_n10,df9,migd,FITO+MB,3.35
moderate_t10_n10,df9,migd,FITO-noLS,7.0
moderate_t10_n10,df9,migd,FITO-noPA,5.1
moderate_t10_n10,df9,migd,FITO-noPS,2.3
moderate_t10_n10,df9,migd,FITO-noRD,5.55
severe_t10_n20,df1,migd,FITO,1.8
severe_t10_n20,df1,migd,FITO+BR,2.8
severe_t10_n20,df1,migd,FITO+MB,3.6
severe_t10_n20,df1,migd,FITO-noLS,6.8
severe_t10_n20,df1,migd,FITO-noPA,5.4
severe_t10_n20,df1,migd,FITO-noPS,2.45
severe_t10_n20,df1,migd,FITO-noRD,5.15
severe_t10_n20,df2,migd,FITO,2.85
severe_t10_n20,df2,migd,FITO+BR,3.55
severe_t10_n20,df2,migd,FITO+MB,3.6
severe_t10_n20,df2,migd,FITO-noLS,6.4
severe_t10_n20,df2,migd,FITO-noPA,4.15
severe_t10_n20,df2,migd,FITO-noPS,3.2
severe_t10_n20,df2,migd,FITO-noRD,4.25
severe_t10_n20,df3,migd,FITO,2.7
severe_t10_n20,df3,migd,FITO+BR,3.05
severe_t10_n20,df3,migd,FITO+MB,2.75
severe_t10_n20,df3,migd,FITO-noLS,6.35
severe_t10_n20,df3,migd,FITO-noPA,3.15
severe_t10_n20,df3,migd,FITO-noPS,6.25
severe_t10_n20,df3,migd,FITO-noRD,3.75
severe_t10_n20,df4,migd,FITO,3.5
severe_t10_n20,df4,migd,FITO+BR,4.6
severe_t10_n20,df4,migd,FITO+MB,4.0
severe_t10_n20,df4,migd,FITO-noLS,7.0
severe_t10_n20,df4,migd,FITO-noPA,3.7
severe_t10_n20,df4,migd,FITO-noPS,2.55
severe_t10_n20,df4,migd,FITO-noRD,2.65
severe_t10_n20,df5,migd,FITO,1.95
severe_t10_n20,df5,migd,FITO+BR,3.4
severe_t10_n20,df5,migd,FITO+MB,2.9
severe_t10_n20,df5,migd,FITO-noLS,7.0
severe_t10_n20,df5,migd,FITO-noPA,4.95
severe_t10_n20,df5,migd,FITO-noPS,2.3
severe_t10_n20,df5,migd,FITO-noRD,5.5
severe_t10_n20,df6,migd,FITO,3.15
severe_t10_n20,df6,migd,FITO+BR,2.9
severe_t10_n20,df6,migd,FITO+MB,3.15
severe_t10_n20,df6,migd,FITO-noLS,5.0
severe_t10_n20,df6,migd,FITO-noPA,5.15
severe_t10_n20,df6,migd,FITO-noPS,3.05
severe_t10_n20,df6,migd,FITO-noRD,5.6
severe_t10_n20,df7,migd,FITO,2.65
severe_t10_n20,df7,migd,FITO+BR,3.4
severe_t10_n20,df7,migd,FITO+MB,3.0
severe_t10_n20,df7,migd,FITO-noLS,5.85
severe_t10_n20,df7,migd,FITO-noPA,2.85
severe_t10_n20,df7,migd,FITO-noPS,6.65
severe_t10_n20,df7,migd,FITO-noRD,3.6
severe_t10_n20,df8,migd,FITO,3.5
severe_t10_n20,df8,migd,FITO+BR,3.95
severe_t10_n20,df8,migd,FITO+MB,2.65
severe_t10_n20,df8,migd,FITO-noLS,7.0
severe_t10_n20,df8,migd,FITO-noPA,3.25
severe_t10_n20,df8,migd,FITO-noPS,4.3
severe_t10_n20,df8,migd,FITO-noRD,3.35
severe_t10_n20,df9,migd,FITO,2.15
severe_t10_n20,df9,migd,FITO+BR,3.85
severe_t10_n20,df9,migd,FITO+MB,2.45
severe_t10_n20,df9,migd,FITO-noLS,7.0
severe_t10_n20,df9,migd,FITO-noPA,4.5
severe_t10_n20,df9,migd,FITO-noPS,2.95
severe_t10_n20,df9,migd,FITO-noRD,5.1
