family,metric,universe,baseline,fito_mean,baseline_mean,mann_whitney_u,p_value,fito_better,cliffs_delta,holm_p_value,holm_scope
budget,mhv,tech14,DNSGA-II-A,0.4036080744811318,0.4066190896025151,222.0,0.5608516966002302,False,0.11,0.5608516966002302,budget_mhv_12_comparisons
budget,mhv,tech14,DNSGA-II-B,0.4036080744811318,0.38207855120937506,286.0,0.020734594207182492,True,0.43,0.08293837682872997,budget_mhv_12_comparisons
budget,mhv,tech14,KGB-DMOEA,0.4036080744811318,0.34487785383184794,363.0,1.1044712116768222e-05,True,0.815,7.731298481737756e-05,budget_mhv_12_comparisons
budget,mhv,tech14,MDDM-DMOEA,0.4036080744811318,0.45417423658281464,16.0,6.916583488077116e-07,False,-0.92,7.608241836884828e-06,budget_mhv_12_comparisons
budget,mhv,tech14,NSGA-II,0.4036080744811318,0.3994148474394095,254.0,0.14784658271436188,True,0.27,0.39984951224795967,budget_mhv_12_comparisons
budget,mhv,tech14,PPS-DMOEA,0.4036080744811318,0.42845123228935106,101.0,0.007711805017936966,False,-0.495,0.038559025089684826,budget_mhv_12_comparisons
budget,mhv,market20,DNSGA-II-A,0.2396837876610487,0.27656971047910284,17.0,7.9479479088229e-07,False,-0.915,7.9479479088229e-06,budget_mhv_12_comparisons
budget,mhv,market20,DNSGA-II-B,0.2396837876610487,0.2446984956041946,144.0,0.1332831707493199,False,-0.28,0.39984951224795967,budget_mhv_12_comparisons
budget,mhv,market20,KGB-DMOEA,0.2396837876610487,0.25831813758045785,63.0,0.00022220262013680653,False,-0.685,0.0013332157208208392,budget_mhv_12_comparisons
budget,mhv,market20,MDDM-DMOEA,0.2396837876610487,0.30117429709806726,0.0,6.79561512817336e-08,False,-1.0,8.154738153808032e-07,budget_mhv_12_comparisons
budget,mhv,market20,NSGA-II,0.2396837876610487,0.26912957590265324,27.0,3.0691009218571027e-06,False,-0.865,2.4552807374856822e-05,budget_mhv_12_comparisons
budget,mhv,market20,PPS-DMOEA,0.2396837876610487,0.27231638365893984,24.0,2.0615962041044736e-06,False,-0.88,1.8554365836940262e-05,budget_mhv_12_comparisons
budget,migd,tech14,DNSGA-II-A,0.0011166303704377648,0.001081806003079565,218.0,0.6359445511344555,False,0.09,0.6359445511344555,budget_migd_12_comparisons
budget,migd,tech14,DNSGA-II-B,0.0011166303704377648,0.001169483795235605,136.0,0.08585487995041038,True,-0.32,0.34341951980164154,budget_migd_12_comparisons
budget,migd,tech14,KGB-DMOEA,0.0011166303704377648,0.001314516028680255,40.0,1.5997235246344776e-05,True,-0.8,9.598341147806866e-05,budget_migd_12_comparisons
budget,migd,tech14,MDDM-DMOEA,0.0011166303704377648,0.00094611561904332,383.0,7.9479479088229e-07,False,0.915,6.35835832705832e-06,budget_migd_12_comparisons
budget,migd,tech14,NSGA-II,0.0011166303704377648,0.0011269842903141448,159.0,0.2732851201810752,True,-0.205,0.568631952476943,budget_migd_12_comparisons
budget,migd,tech14,PPS-DMOEA,0.0011166303704377648,0.0010160851921312201,316.0,0.001782375537505441,False,0.58,0.008911877687527206,budget_migd_12_comparisons
budget,migd,market20,DNSGA-II-A,0.00112795456912231,0.000993788137977235,400.0,6.79561512817336e-08,False,1.0,8.154738153808032e-07,budget_migd_12_comparisons
budget,migd,market20,DNSGA-II-B,0.00112795456912231,0.001115008366064115,249.0,0.189543984158981,False,0.245,0.568631952476943,budget_migd_12_comparisons
budget,migd,market20,KGB-DMOEA,0.00112795456912231,0.0010234807229676202,399.0,7.898033666674663e-08,False,0.995,8.154738153808032e-07,budget_migd_12_comparisons
budget,migd,market20,MDDM-DMOEA,0.00112795456912231,0.000984426565227,400.0,6.79561512817336e-08,False,1.0,8.154738153808032e-07,budget_migd_12_comparisons
budget,migd,market20,NSGA-II,0.00112795456912231,0.0009726907245007499,400.0,6.79561512817336e-08,False,1.0,8.154738153808032e-07,budget_migd_12_comparisons
budget,migd,market20,PPS-DMOEA,0.00112795456912231,0.00104591412649888,383.0,7.9479479088229e-07,False,0.915,6.35835832705832e-06,budget_migd_12_comparisons
budget,final_wealth,tech14,DNSGA-II-A,38.72345925039639,30.851400016591885,330.0,0.0004600727270090418,True,0.65,0.0036805818160723343,budget_final_wealth_12_comparisons
budget,final_wealth,tech14,DNSGA-II-B,38.72345925039639,27.781243096714668,322.0,0.0010140986852160438,True,0.61,0.007098690796512307,budget_final_wealth_12_comparisons
budget,final_wealth,tech14,KGB-DMOEA,38.72345925039639,20.85235972152534,362.0,1.2505163702974243e-05,True,0.81,0.00013755680073271667,budget_final_wealth_12_comparisons
budget,final_wealth,tech14,MDDM-DMOEA,38.72345925039639,41.43228002834381,176.0,0.5249869101903615,False,-0.12,1.0,budget_final_wealth_12_comparisons
budget,final_wealth,tech14,NSGA-II,38.72345925039639,28.948460562003607,342.0,0.00012940533589153548,True,0.71,0.0011646480230238193,budget_final_wealth_12_comparisons
budget,final_wealth,tech14,PPS-DMOEA,38.72345925039639,34.057523979208575,286.0,0.020734594207182492,True,0.43,0.12440756524309496,budget_final_wealth_12_comparisons
budget,final_wealth,market20,DNSGA-II-A,5.716235328471036,6.469511525394646,30.0,4.540079639937965e-06,False,-0.85,5.4480955679255574e-05,budget_final_wealth_12_comparisons
budget,final_wealth,market20,DNSGA-II-B,5.716235328471036,5.57460348556481,249.0,0.189543984158981,True,0.245,0.758175936635924,budget_final_wealth_12_comparisons
budget,final_wealth,market20,KGB-DMOEA,5.716235328471036,5.74376134916306,187.0,0.7352681529274933,False,-0.065,1.0,budget_final_wealth_12_comparisons
budget,final_wealth,market20,MDDM-DMOEA,5.716235328471036,5.923670024458484,144.0,0.1332831707493199,False,-0.28,0.6664158537465994,budget_final_wealth_12_comparisons
budget,final_wealth,market20,NSGA-II,5.716235328471036,6.536812066464232,45.0,2.9248649327368934e-05,False,-0.775,0.00029248649327368937,budget_final_wealth_12_comparisons
budget,final_wealth,market20,PPS-DMOEA,5.716235328471036,5.811007616631555,163.0,0.3234817459216911,False,-0.185,0.9704452377650733,budget_final_wealth_12_comparisons
budget,annualized_return,tech14,DNSGA-II-A,0.46453309955698696,0.4335063082201369,330.0,0.0004600727270090418,True,0.65,0.0036805818160723343,budget_annualized_return_12_comparisons
budget,annualized_return,tech14,DNSGA-II-B,0.46453309955698696,0.41176680997621684,322.0,0.0010140986852160438,True,0.61,0.007098690796512307,budget_annualized_return_12_comparisons
budget,annualized_return,tech14,KGB-DMOEA,0.46453309955698696,0.3758448526244908,362.0,1.2505163702974243e-05,True,0.81,0.00013755680073271667,budget_annualized_return_12_comparisons
budget,annualized_return,tech14,MDDM-DMOEA,0.46453309955698696,0.47898990645167405,176.0,0.5249869101903615,False,-0.12,1.0,budget_annualized_return_12_comparisons
budget,annualized_return,tech14,NSGA-II,0.46453309955698696,0.4237458360923359,342.0,0.00012940533589153548,True,0.71,0.0011646480230238193,budget_annualized_return_12_comparisons
budget,annualized_return,tech14,PPS-DMOEA,0.46453309955698696,0.4480421976453767,286.0,0.020734594207182492,True,0.43,0.12440756524309496,budget_annualized_return_12_comparisons
budget,annualized_return,market20,DNSGA-II-A,0.2011270603917577,0.21701098444081665,30.0,4.540079639937965e-06,False,-0.85,5.4480955679255574e-05,budget_annualized_return_12_comparisons
budget,annualized_return,market20,DNSGA-II-B,0.2011270603917577,0.19807645355481052,249.0,0.189543984158981,True,0.245,0.758175936635924,budget_annualized_return_12_comparisons
budget,annualized_return,market20,KGB-DMOEA,0.2011270603917577,0.2017766304194461,187.0,0.7352681529274933,False,-0.065,1.0,budget_annualized_return_12_comparisons
budget,annualized_return,market20,MDDM-DMOEA,0.2011270603917577,0.20572199726330673,144.0,0.1332831707493199,False,-0.28,0.6664158537465994,budget_annualized_return_12_comparisons
budget,annualized_return,market20,NSGA-II,0.2011270603917577,0.21814633525249216,45.0,2.9248649327368934e-05,False,-0.775,0.00029248649327368937,budget_annualized_return_12_comparisons
budget,annualized_return,market20,PPS-DMOEA,0.2011270603917577,0.2034024676385045,163.0,0.3234817459216911,False,-0.185,0.9704452377650733,budget_annualized_return_12_comparisons
